Organization,State,Categories,Contact
Bhanru Ramkrishnapur Gramin Unnayan Sanstha,west bengal,"Disaster Prevention, Education, Environment, Health, Livelihood, Rural Development, Women Empowerment",Tel:  8617774524 Email:  brgus.biswajit@gmail.com Website:  http://www.brgus.org.in
Bharath Charitable Cancer Hospital & Institute Trust,karnataka,"Environment, Health, Water, Sanitation & Hygiene",Tel:  9880251819 Email:  bcchi2002@yahoo.com Website:  http://www.bcchi.org
Bharatha Annai Illam,tamil nadu,"Disaster Prevention, Education, Health, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9578518311 Email:  bharathaannaiillam@yahoo.co.in Website:  http://www.bharathaannaiillam.org
Bharathi Seva Mandali Trust (R),karnataka,"Education, Health, Livelihood",Tel:  9448725305 Email:  chethanaspecialschool@yahoo.in Website:  http://chethanaspecialschool.in/
Bhartiy Samajik Sansthan,uttar pradesh,"Environment, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9450225962 Email:  bssbanda@gmail.com Website:  http://www.bssbanda.org
Bhartiya Kisan Sangh,jharkhand,"Agriculture, Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9431114532 Email:  bksranchi@gmail.com Website:  http://www.bksranchi.org
Bhavada Devi Memorial Philanthropic Trust,assam,"Health, Women Empowerment",Tel:  9810791818 Email:  bdmpt.seneh12@gmail.com Website:  http://www.seneh.in
Bhojpur Mahila Kala Kendra,bihar,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Women Empowerment",Tel:  7903737181 Email:  bhojpurmahila@gmail.com Website:  http://www.bhojpurahila.org 
Bhojpur Mahila Kala Kendra,jharkhand,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Women Empowerment",Tel:  7903737181 Email:  bhojpurmahila@gmail.com Website:  http://www.bhojpurahila.org 
Bhoruka Charitable Trust,andhra pradesh,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9414302444 Email:  bct@bctngo.org Website:  https://www.bctngo.org
Bhoruka Charitable Trust,karnataka,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9414302444 Email:  bct@bctngo.org Website:  https://www.bctngo.org
Bhoruka Charitable Trust,maharashtra,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9414302444 Email:  bct@bctngo.org Website:  https://www.bctngo.org
Bhoruka Charitable Trust,rajasthan,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9414302444 Email:  bct@bctngo.org Website:  https://www.bctngo.org
Bhoruka Charitable Trust,tamil nadu,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9414302444 Email:  bct@bctngo.org Website:  https://www.bctngo.org
Bhoruka Charitable Trust,telangana,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9414302444 Email:  bct@bctngo.org Website:  https://www.bctngo.org
Bhumi,chandigarh,"Education, Environment",Tel:  9840868441 Email:  reach@bhumi.ngo Website:  https://www.bhumi.ngo/
Bhumi,delhi,"Education, Environment",Tel:  9840868441 Email:  reach@bhumi.ngo Website:  https://www.bhumi.ngo/
Bhumi,haryana,"Education, Environment",Tel:  9840868441 Email:  reach@bhumi.ngo Website:  https://www.bhumi.ngo/
Bhumi,karnataka,"Education, Environment",Tel:  9840868441 Email:  reach@bhumi.ngo Website:  https://www.bhumi.ngo/
Bhumi,maharashtra,"Education, Environment",Tel:  9840868441 Email:  reach@bhumi.ngo Website:  https://www.bhumi.ngo/
Bhumi,punjab,"Education, Environment",Tel:  9840868441 Email:  reach@bhumi.ngo Website:  https://www.bhumi.ngo/
Bhumi,rajasthan,"Education, Environment",Tel:  9840868441 Email:  reach@bhumi.ngo Website:  https://www.bhumi.ngo/
Bhumi,tamil nadu,"Education, Environment",Tel:  9840868441 Email:  reach@bhumi.ngo Website:  https://www.bhumi.ngo/
Bhumi,telangana,"Education, Environment",Tel:  9840868441 Email:  reach@bhumi.ngo Website:  https://www.bhumi.ngo/
Bhumi,west bengal,"Education, Environment",Tel:  9840868441 Email:  reach@bhumi.ngo Website:  https://www.bhumi.ngo/
Bihar Gram Vikas Parishad,bihar,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment","Tel:  7323077298, 9431400000 Email:  bgvpsitamarhi@gmail.com Website:  http://www.bgvpsitamarhi.org"
Bihar Sewa Samiti,bihar,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9430573172 Email:  bss.org@gmail.com Website:  http://www.bssindia.org
Bihar Sewa Samiti,jharkhand,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9430573172 Email:  bss.org@gmail.com Website:  http://www.bssindia.org
Birsa Munda Welfare Foundation,jharkhand,"Disaster Prevention, Education, Environment, Health, Livelihood, Rural Development, Women Empowerment","Tel:  7004147968, 9334821361 Email:  birsamunda37@yahoo.in Website:  http://www.birsamunda.org.in"
Bodh Shiksha Samiti,madhya pradesh,Education,Tel:  9829018460 Email:  director@bodh.org Website:  http://www.bodh.org
Bodh Shiksha Samiti,rajasthan,Education,Tel:  9829018460 Email:  director@bodh.org Website:  http://www.bodh.org
Bodh Shiksha Samiti,uttar pradesh,Education,Tel:  9829018460 Email:  director@bodh.org Website:  http://www.bodh.org
Bombay First,maharashtra,"Disaster Prevention, Education, Environment, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9821118530 Email:  info@mumbaifirst.org Website:  https://mumbaifirst.org/
Borderless World Foundation,jammu & kashmir,"Education, Health, Women Empowerment",Tel:  9422323569 Email:  adhik@borderlessworldfoundation.org Website:  https://sites.google.com/borderlessworldfoundation.org/firstsight/home?authuser=0
Breakthrough Trust,bihar,Women Empowerment,Tel:  9818516067 Email:  jocelyn@breakthrough.tv Website:   http://www.inbreakthrough.org
Breakthrough Trust,delhi,Women Empowerment,Tel:  9818516067 Email:  jocelyn@breakthrough.tv Website:   http://www.inbreakthrough.org
Breakthrough Trust,haryana,Women Empowerment,Tel:  9818516067 Email:  jocelyn@breakthrough.tv Website:   http://www.inbreakthrough.org
Breakthrough Trust,jharkhand,Women Empowerment,Tel:  9818516067 Email:  jocelyn@breakthrough.tv Website:   http://www.inbreakthrough.org
Breakthrough Trust,uttar pradesh,Women Empowerment,Tel:  9818516067 Email:  jocelyn@breakthrough.tv Website:   http://www.inbreakthrough.org
Buddha Outcast Social Society (BOSS),tamil nadu,"Agriculture, Education, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9486171442 Email:  bossngoindia@gmail.com Website:  http://www.bossngo.blogspot.com
Buds Of Christ Charitable Trust,tamil nadu,"Education, Health, Women Empowerment",Tel:  9840770722 Email:  jpaul@budsofchrist.org Website:  http://www.budsofchrist.org
Bundelkhand Sewa Sansthan,madhya pradesh,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9415412961 Email:  bssltp@gmail.com Website:  http://www.bssindia.ngo/
Bundelkhand Sewa Sansthan,uttar pradesh,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9415412961 Email:  bssltp@gmail.com Website:  http://www.bssindia.ngo/
Calcutta Rescue,west bengal,"Education, Health, Livelihood, Water, Sanitation & Hygiene",Tel:  9674590323 Email:  pr@calcuttarescue.org Website:  http://www.calcuttarescue.org
Cancer Aid Society,andhra pradesh,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,assam,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,bihar,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,chandigarh,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,chattisgarh,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,delhi,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,goa,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,gujarat,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,haryana,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,himachal pradesh,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,jharkhand,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,karnataka,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,kerala,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,madhya pradesh,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,maharashtra,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,odisha,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,puducherry,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,punjab,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,rajasthan,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,sikkim,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,tamil nadu,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,telangana,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,uttarakhand,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,uttar pradesh,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Aid Society,west bengal,Health,Tel:  9335166600 Email:  piyushgupta@canceraidsocietyindia.org Website:  https://canceraidsocietyindia.org
Cancer Foundation Of India,manipur,Health,Tel:  9831071203 Email:  cancer.foundation.india@gmail.com Website:  http://www.cancerfoundationofindia.org
Cancer Foundation Of India,meghalaya,Health,Tel:  9831071203 Email:  cancer.foundation.india@gmail.com Website:  http://www.cancerfoundationofindia.org
Cancer Foundation Of India,mizoram,Health,Tel:  9831071203 Email:  cancer.foundation.india@gmail.com Website:  http://www.cancerfoundationofindia.org
Cancer Foundation Of India,sikkim,Health,Tel:  9831071203 Email:  cancer.foundation.india@gmail.com Website:  http://www.cancerfoundationofindia.org
Cancer Foundation Of India,tripura,Health,Tel:  9831071203 Email:  cancer.foundation.india@gmail.com Website:  http://www.cancerfoundationofindia.org
Cancer Foundation Of India,west bengal,Health,Tel:  9831071203 Email:  cancer.foundation.india@gmail.com Website:  http://www.cancerfoundationofindia.org
Cdrome Education Society,andhra pradesh,"Agriculture, Education, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9833664987 Email:  info@cdrome.org Website:  http://www.cdrome.org
Cdrome Education Society,arunachal pradesh,"Agriculture, Education, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9833664987 Email:  info@cdrome.org Website:  http://www.cdrome.org
Cdrome Education Society,assam,"Agriculture, Education, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9833664987 Email:  info@cdrome.org Website:  http://www.cdrome.org
Cdrome Education Society,delhi,"Agriculture, Education, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9833664987 Email:  info@cdrome.org Website:  http://www.cdrome.org
Cdrome Education Society,gujarat,"Agriculture, Education, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9833664987 Email:  info@cdrome.org Website:  http://www.cdrome.org
Cdrome Education Society,jammu & kashmir,"Agriculture, Education, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9833664987 Email:  info@cdrome.org Website:  http://www.cdrome.org
Cdrome Education Society,jharkhand,"Agriculture, Education, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9833664987 Email:  info@cdrome.org Website:  http://www.cdrome.org
Cdrome Education Society,maharashtra,"Agriculture, Education, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9833664987 Email:  info@cdrome.org Website:  http://www.cdrome.org
Cdrome Education Society,manipur,"Agriculture, Education, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9833664987 Email:  info@cdrome.org Website:  http://www.cdrome.org
Cdrome Education Society,meghalaya,"Agriculture, Education, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9833664987 Email:  info@cdrome.org Website:  http://www.cdrome.org
Cdrome Education Society,mizoram,"Agriculture, Education, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9833664987 Email:  info@cdrome.org Website:  http://www.cdrome.org
Cdrome Education Society,nagaland,"Agriculture, Education, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9833664987 Email:  info@cdrome.org Website:  http://www.cdrome.org
Cdrome Education Society,puducherry,"Agriculture, Education, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9833664987 Email:  info@cdrome.org Website:  http://www.cdrome.org
Cdrome Education Society,uttarakhand,"Agriculture, Education, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9833664987 Email:  info@cdrome.org Website:  http://www.cdrome.org
Cdrome Education Society,west bengal,"Agriculture, Education, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9833664987 Email:  info@cdrome.org Website:  http://www.cdrome.org
Celine La Deed's Welfare Trust,bihar,Education,Tel:  9708477452 Email:  deedischool@gmail.com Website:   http://www.ladeedischool-chuma.org
Center For Rural Education Development And Innovative Technologies Of India (CREDIT- I),karnataka,"Agriculture, Disaster Prevention, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9448988746 Email:  creditindia2007@gmail.com Website:  http://www.credit-i.1ngo.in
"Center Of Needy, Creative, Experimental & Participatory Techniques Society (CONCEPT)",madhya pradesh,"Agriculture, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  6264474291 Email:  concept_society@rediffmail.com Website:  http://www.conceptindiasansthan.org
Centre For Advanced Research And Development,chattisgarh,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9425013029 Email:  cardindiabhopal@gmail.com Website:  http://www.cardindia.org
Centre For Advanced Research And Development,haryana,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9425013029 Email:  cardindiabhopal@gmail.com Website:  http://www.cardindia.org
Centre For Advanced Research And Development,madhya pradesh,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9425013029 Email:  cardindiabhopal@gmail.com Website:  http://www.cardindia.org
Centre For Advanced Research And Development,maharashtra,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9425013029 Email:  cardindiabhopal@gmail.com Website:  http://www.cardindia.org
Centre For Advanced Research And Development,punjab,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9425013029 Email:  cardindiabhopal@gmail.com Website:  http://www.cardindia.org
Centre For Community Initiative,manipur,"Disaster Prevention, Education, Health, Livelihood, Rural Development",Tel:  9612153082 Email:  info@communityinitiative.in Website:  https://communityinitiative.in/
Centre For Development Alternatives,tamil nadu,"Livelihood, Rural Development, Women Empowerment",Tel:  9444902217 Email:  centrealter@yahoo.com Website:  http://www.cfda.in
Centre For Humanitarian Assistance (CEFHA TRUST),andhra pradesh,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9440156281 Email:  cefhahead@gmail.com Website:  http://www.cefha.org
Centre For Indian Knowledge Systems,tamil nadu,"Agriculture, Environment, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9940008356 Email:  info@ciks.org Website:  http://www.ciks.org
Centre For Peace And Development (CPD),mizoram,"Education, Women Empowerment",Tel:  9436142699 Email:  cpdmizoram@gmail.com Website:  http://www.cpdmizoram.org
Centre For Promotion Of Equal Rights,tamil nadu,"Agriculture, Education, Environment, Rural Development, Women Empowerment",Tel:  9442442287 Email:  aaddhy@gmail.com Website:  http://www.yourdomain.com
Centre For Resources Development Studies,madhya pradesh,"Agriculture, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9425009125 Email:  crdsbpl@gmail.com Website:  http://www.crdsnews.com
Centre For Resources Development Studies,chattisgarh,"Agriculture, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9425009125 Email:  crdsbpl@gmail.com Website:  http://www.crdsnews.com
Centre For Rural Development And Education,tamil nadu,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9443408084 Email:  cerderamnad@yahoo.in Website:  http://www.cerdengo.org
Centre For Social Reconstruction,tamil nadu,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9443135949 Email:  csrnagar@csrngo.org Website:  http://www.csrngo.org
Centre For Socio-Economic And Environmental Studies,andhra pradesh,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9447045306 Email:  csesindia@gmail.com Website:  http://www.csesindia.org
Centre For Socio-Economic And Environmental Studies,karnataka,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9447045306 Email:  csesindia@gmail.com Website:  http://www.csesindia.org
Centre For Socio-Economic And Environmental Studies,kerala,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9447045306 Email:  csesindia@gmail.com Website:  http://www.csesindia.org
Centre For Socio-Economic And Environmental Studies,lakshwadeep,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9447045306 Email:  csesindia@gmail.com Website:  http://www.csesindia.org
Centre For Socio-Economic And Environmental Studies,puducherry,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9447045306 Email:  csesindia@gmail.com Website:  http://www.csesindia.org
Centre For Socio-Economic And Environmental Studies,tamil nadu,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9447045306 Email:  csesindia@gmail.com Website:  http://www.csesindia.org
Centre For Socio-Economic And Environmental Studies,telangana,"Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9447045306 Email:  csesindia@gmail.com Website:  http://www.csesindia.org
Centre For The Upliftment Of The Rural And Urban Poor,west bengal,"Agriculture, Disaster Prevention, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9051337936 Email:  curup1987@gmail.com Website:  http://www.responsenet.org
Centre For Tribals And Rural Development Trust,tamil nadu,"Agriculture, Disaster Prevention, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9443020232 Email:  ctrdtrust@gmail.com Website:  http://www.ctrdtrust.org
Centre For Urban And Regional Excellence,delhi,"Environment, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9818198612 Email:  renukhosla@cureindia.org Website:  https://centre-for-urban-and-regional.business.site/
Centre For Urban And Regional Excellence,odisha,"Environment, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9818198612 Email:  renukhosla@cureindia.org Website:  https://centre-for-urban-and-regional.business.site/
Centre For Urban And Regional Excellence,rajasthan,"Environment, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9818198612 Email:  renukhosla@cureindia.org Website:  https://centre-for-urban-and-regional.business.site/
Centre For Urban And Regional Excellence,uttar pradesh,"Environment, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9818198612 Email:  renukhosla@cureindia.org Website:  https://centre-for-urban-and-regional.business.site/
Centre For Women And Girls,manipur,"Agriculture, Education, Environment, Forestry, Health, Livelihood, Rural Development, Women Empowerment",Tel:  8731083679 Email:  infocwg11@gmail.com Website:  https://cwg-manipur.org/
Centre For Youth And Social Development,odisha,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9437022983 Email:  cysd@cysd.org Website:  https://www.cysd.org/
Cept Research & Development Foundation,gujarat,"Education, Environment, Rural Development, Water, Sanitation & Hygiene",Tel:  9825577681 Email:  crdf@cept.ac.in Website:  https://crdf.org.in
Cept Research & Development Foundation,maharashtra,"Education, Environment, Rural Development, Water, Sanitation & Hygiene",Tel:  9825577681 Email:  crdf@cept.ac.in Website:  https://crdf.org.in
Cept Research & Development Foundation,punjab,"Education, Environment, Rural Development, Water, Sanitation & Hygiene",Tel:  9825577681 Email:  crdf@cept.ac.in Website:  https://crdf.org.in
Cept Research & Development Foundation,rajasthan,"Education, Environment, Rural Development, Water, Sanitation & Hygiene",Tel:  9825577681 Email:  crdf@cept.ac.in Website:  https://crdf.org.in
Cfbt Education Services,andhra pradesh,Education,Tel:  9246557472 Email:  info@cfbtes.com Website:  https://www.cfbtes.com
Cfbt Education Services,bihar,Education,Tel:  9246557472 Email:  info@cfbtes.com Website:  https://www.cfbtes.com
Cfbt Education Services,delhi,Education,Tel:  9246557472 Email:  info@cfbtes.com Website:  https://www.cfbtes.com
Cfbt Education Services,gujarat,Education,Tel:  9246557472 Email:  info@cfbtes.com Website:  https://www.cfbtes.com
Cfbt Education Services,jharkhand,Education,Tel:  9246557472 Email:  info@cfbtes.com Website:  https://www.cfbtes.com
Cfbt Education Services,karnataka,Education,Tel:  9246557472 Email:  info@cfbtes.com Website:  https://www.cfbtes.com
Cfbt Education Services,kerala,Education,Tel:  9246557472 Email:  info@cfbtes.com Website:  https://www.cfbtes.com
Cfbt Education Services,madhya pradesh,Education,Tel:  9246557472 Email:  info@cfbtes.com Website:  https://www.cfbtes.com
Cfbt Education Services,maharashtra,Education,Tel:  9246557472 Email:  info@cfbtes.com Website:  https://www.cfbtes.com
Cfbt Education Services,odisha,Education,Tel:  9246557472 Email:  info@cfbtes.com Website:  https://www.cfbtes.com
Cfbt Education Services,rajasthan,Education,Tel:  9246557472 Email:  info@cfbtes.com Website:  https://www.cfbtes.com
Cfbt Education Services,tamil nadu,Education,Tel:  9246557472 Email:  info@cfbtes.com Website:  https://www.cfbtes.com
Cfbt Education Services,telangana,Education,Tel:  9246557472 Email:  info@cfbtes.com Website:  https://www.cfbtes.com
Cfbt Education Services,uttar pradesh,Education,Tel:  9246557472 Email:  info@cfbtes.com Website:  https://www.cfbtes.com
Chaithanya Mahila Mandali,andhra pradesh,"Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9908582655 Email:  jsthomas@chaithanyamahilamandali.org Website:  http://www.chaithanyamahilamandali.com
Chaithanya Mahila Mandali,tamil nadu,"Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9908582655 Email:  jsthomas@chaithanyamahilamandali.org Website:  http://www.chaithanyamahilamandali.com
Chaithanya Mahila Mandali,telangana,"Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9908582655 Email:  jsthomas@chaithanyamahilamandali.org Website:  http://www.chaithanyamahilamandali.com
Change Initiatives,assam,"Disaster Prevention, Education, Environment, Livelihood, Rural Development, Women Empowerment",Tel:  9831754306 Email:  changeinitiatives@gmail.com Website:  https://changeinitiatives.in
Change Initiatives,west bengal,"Disaster Prevention, Education, Environment, Livelihood, Rural Development, Women Empowerment",Tel:  9831754306 Email:  changeinitiatives@gmail.com Website:  https://changeinitiatives.in
Charsur Arts Foundation,tamil nadu,"Education, Livelihood",Tel:  9884549716 Email:  caf@charsurartsfoundation.org Website:  https://www.charsurartsfoundation.org
Charutar Arogya Mandal,gujarat,Health,Tel:  7359980553 Email:  helpus@charutarhealth.org Website:  http://www.charutarhealth.org/
Cheers Foundation,andhra pradesh,"Education, Livelihood, Rural Development, Women Empowerment",Tel:  9701189677 Email:  info@cheersfoundation.org Website:  http://www.cheersfoundation.org
Cheers Foundation,tamil nadu,"Education, Livelihood, Rural Development, Women Empowerment",Tel:  9701189677 Email:  info@cheersfoundation.org Website:  http://www.cheersfoundation.org
Cheers Foundation,telangana,"Education, Livelihood, Rural Development, Women Empowerment",Tel:  9701189677 Email:  info@cheersfoundation.org Website:  http://www.cheersfoundation.org
Chengai Jesuit Society,tamil nadu,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8870123300 Email:  chennaimissionsj@gmail.com Website:  http://www.jesuitchennaimission.org
Chikka Federation Of India,bihar,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9570716800 Email:  feedback@chikkafederation.org Website:  http://www.chikkafederation.org
Child Aid Foundation,andhra pradesh,Education (Including Vocational Training),Tel:  9700330075 Email:  email@childaidfoundation.org Website:  http://www.childaidfoundation.org 
Child In Need Institute (CINI),assam,"Disaster Prevention, Education, Health, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9015457853 Email:  archana.mukharji@cinindia.org Website:  https://www.cini-india.org
Child In Need Institute (CINI),jharkhand,"Disaster Prevention, Education, Health, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9015457853 Email:  archana.mukharji@cinindia.org Website:  https://www.cini-india.org
